Provider_ID,Claim_Amount,Number_of_Claims,Avg_Patient_Age,Procedure_Code,Diagnosis_Code,Fraud_Flag
P004,13263.7,13,34,PROC1,D004,0
P005,10052.51,18,70,PROC4,D004,0
P003,11704.88,1,55,PROC1,D003,0
P005,9224.33,16,57,PROC2,D004,0
P005,10810.42,13,31,PROC2,D004,1
P002,9674.64,10,79,PROC1,D003,0
P003,10242.49,12,35,PROC2,D004,0
P003,11487.89,2,38,PROC1,D003,0
P003,7954.45,3,62,PROC1,D001,1
P005,15230.97,10,70,PROC1,D002,0
P004,7484.96,2,54,PROC4,D002,0
P003,6964.53,13,77,PROC1,D004,1
P005,12895.28,13,42,PROC4,D004,0
P002,11979.16,18,38,PROC1,D004,0
P004,11560.3,3,42,PROC1,D002,0
P002,11570.86,7,60,PROC1,D001,1
P004,9969.38,14,70,PROC2,D001,0
P005,7756.86,17,40,PROC4,D002,0
P001,10189.51,12,33,PROC4,D001,0
P004,8307.1,16,63,PROC1,D002,0
P002,12437.8,12,67,PROC1,D001,0
P005,9632.36,15,75,PROC2,D003,0
P004,7936.26,10,33,PROC2,D003,0
P001,9196.54,7,67,PROC2,D002,0
P001,11032.33,5,48,PROC4,D001,0
P003,8590.69,1,35,PROC4,D004,0
P003,7944.45,17,63,PROC4,D001,1
P002,10609.22,3,47,PROC1,D003,0
P004,10612.42,13,42,PROC4,D003,0
P004,8732.64,14,70,PROC3,D001,0
P003,8822.4,18,52,PROC3,D001,0
P004,10580.12,4,48,PROC2,D004,0
P004,6379.79,18,74,PROC4,D004,0
P001,6481.34,5,40,PROC3,D001,0
P003,8203.89,16,30,PROC2,D001,0
P005,9466.38,1,53,PROC4,D001,0
P003,10777.27,14,36,PROC1,D001,0
P005,13688.39,15,54,PROC3,D002,0
P001,12144.15,9,50,PROC1,D001,0
P002,9600.15,15,44,PROC4,D004,0
P004,9952.46,17,30,PROC3,D003,0
P001,7493.68,4,41,PROC4,D002,1
P004,9953.72,12,36,PROC1,D001,0
P002,9278.35,5,44,PROC3,D003,0
P002,10806.8,5,50,PROC1,D002,0
P001,7931.92,11,48,PROC4,D003,0
P002,11298.37,6,58,PROC4,D001,0
P005,13831.85,7,54,PROC1,D001,1
P002,9728.1,14,62,PROC3,D004,0
P004,11004.28,11,78,PROC1,D001,0
P004,11725.36,13,61,PROC4,D001,0
P004,8996.95,2,78,PROC1,D002,1
P004,10560.23,7,64,PROC4,D004,0
P005,10031.48,4,73,PROC1,D002,0
P003,10244.19,8,67,PROC3,D003,0
P001,8067.48,19,55,PROC3,D001,0
P004,10061.28,13,40,PROC1,D003,0
P002,11245.0,14,64,PROC1,D002,1
P004,13627.86,10,37,PROC3,D001,0
P002,12398.18,11,75,PROC4,D001,1
P002,15382.96,2,43,PROC3,D002,0
P004,8081.63,9,39,PROC4,D002,0
P005,12180.8,17,31,PROC1,D002,0
P002,10458.36,3,75,PROC1,D002,0
P002,15474.51,6,38,PROC4,D002,1
P004,7979.25,5,32,PROC1,D001,0
P002,7900.7,5,50,PROC4,D002,0
P002,8501.52,15,55,PROC2,D001,0
P004,4690.26,17,37,PROC3,D001,0
P004,8685.61,9,77,PROC2,D002,0
P001,8102.17,3,31,PROC4,D002,0
P005,10375.98,17,35,PROC3,D004,0
P005,10854.39,10,57,PROC4,D001,1
P002,14690.43,3,58,PROC3,D002,0
P005,12376.06,18,55,PROC3,D002,0
P002,8557.74,18,54,PROC3,D002,0
P001,7753.96,17,41,PROC3,D004,0
P004,11229.8,3,34,PROC4,D004,0
P004,6699.42,3,63,PROC3,D003,0
P004,14578.65,6,77,PROC3,D001,1
P005,12948.6,13,66,PROC2,D003,0
P001,8827.06,15,44,PROC1,D002,0
P005,5717.16,9,73,PROC1,D004,0
P005,13384.68,4,65,PROC2,D004,0
P001,9713.65,14,44,PROC2,D003,0
P001,13094.54,5,72,PROC4,D004,0
P001,6013.93,2,77,PROC4,D002,0
P001,8501.56,11,52,PROC4,D004,0
P004,10013.11,9,35,PROC2,D003,0
P003,10117.45,3,75,PROC2,D002,0
P003,8874.84,9,79,PROC3,D003,1
P001,11557.12,3,73,PROC4,D004,0
P003,7330.95,2,72,PROC4,D003,0
P003,9644.05,12,74,PROC4,D003,0
P001,10300.74,10,50,PROC1,D001,0
P003,11286.1,9,52,PROC3,D004,0
P005,11779.04,15,72,PROC4,D004,0
P002,7188.39,8,45,PROC4,D003,1
P002,6164.71,5,76,PROC4,D001,0
P001,13194.19,11,44,PROC1,D004,0
P004,10830.79,2,54,PROC1,D002,0
P001,8128.78,15,65,PROC2,D003,0
P004,13877.88,6,40,PROC3,D004,0
P002,10289.19,8,44,PROC2,D002,0
P001,12948.24,5,33,PROC3,D004,1
P005,10168.8,16,50,PROC1,D002,0
P003,15151.87,18,42,PROC4,D003,0
P004,14388.35,6,51,PROC2,D004,0
P003,9377.59,5,48,PROC4,D004,1
P003,12428.93,16,63,PROC2,D001,0
P001,11613.44,13,43,PROC1,D003,0
P003,13421.58,5,33,PROC1,D002,0
P005,7587.69,13,77,PROC1,D004,0
P003,11715.13,17,75,PROC2,D004,0
P001,12646.06,18,56,PROC3,D002,0
P005,5603.15,8,58,PROC2,D003,0
P002,7041.85,13,76,PROC3,D001,1
P003,4901.92,19,57,PROC2,D001,0
P001,9326.48,3,64,PROC2,D004,0
P002,11793.86,8,37,PROC1,D002,0
P002,13755.89,2,45,PROC4,D004,0
P004,10185.24,8,71,PROC4,D002,0
P005,14071.54,13,65,PROC3,D001,0
P003,6549.75,13,59,PROC4,D003,0
P001,5741.54,1,47,PROC2,D002,0
P004,9861.13,6,31,PROC2,D001,0
P005,10960.16,19,78,PROC1,D004,0
P004,9918.26,16,42,PROC1,D002,1
P005,4831.39,8,33,PROC4,D003,0
P005,9777.2,1,55,PROC3,D004,0
P003,6738.83,16,54,PROC4,D004,0
P005,11674.18,9,59,PROC4,D001,0
P004,10916.5,13,40,PROC4,D002,0
P005,7650.3,11,36,PROC4,D004,0
P003,8715.33,13,60,PROC2,D003,0
P003,7351.97,10,73,PROC3,D002,0
P004,9843.3,4,39,PROC2,D003,0
P002,12387.86,6,68,PROC3,D004,0
P002,7535.68,7,42,PROC1,D003,0
P005,11260.12,5,60,PROC4,D001,0
P001,8674.36,11,36,PROC2,D003,0
P005,8017.82,13,78,PROC3,D002,0
P004,9732.42,19,71,PROC1,D003,0
P004,7411.89,10,71,PROC1,D003,1
P004,8615.88,10,65,PROC4,D001,0
P004,7005.31,11,49,PROC3,D003,1
P004,14911.81,7,33,PROC2,D003,0
P003,10088.16,18,36,PROC4,D004,0
P002,8250.69,4,30,PROC2,D004,0
P004,10534.95,2,73,PROC1,D002,0
P001,9719.18,14,74,PROC2,D004,1
P001,9447.58,13,71,PROC2,D004,0
P001,11535.42,12,76,PROC4,D004,0
P001,11893.77,7,42,PROC2,D004,0
P003,8673.75,2,51,PROC4,D001,0
P001,8560.45,13,50,PROC1,D004,0
P004,9312.37,14,51,PROC4,D001,0
P005,4245.2,17,57,PROC4,D001,0
P001,6212.02,9,38,PROC3,D004,0
P003,13417.19,17,55,PROC2,D003,0
P003,14112.42,8,38,PROC1,D001,0
P001,9377.41,2,44,PROC4,D003,0
P005,11441.39,13,39,PROC1,D003,1
P001,10778.13,3,53,PROC3,D004,0
P003,17697.2,16,71,PROC2,D002,0
P002,12798.94,6,37,PROC4,D004,0
P004,9680.21,19,53,PROC2,D002,0
P003,7611.15,7,45,PROC3,D002,0
P001,5983.88,10,78,PROC3,D004,1
P004,10508.66,9,55,PROC1,D004,0
P001,8109.12,2,56,PROC4,D002,1
P001,6444.37,15,66,PROC1,D004,0
P002,8383.57,5,33,PROC3,D002,0
P004,7296.13,4,79,PROC2,D003,0
P004,14217.85,4,53,PROC1,D004,0
P002,12204.1,18,48,PROC1,D003,0
P003,9980.07,4,65,PROC2,D001,0
P001,13699.86,17,68,PROC1,D003,0
P005,10193.42,12,39,PROC2,D003,0
P001,7846.79,17,54,PROC4,D002,0
P001,13807.81,10,47,PROC2,D003,0
P003,11347.28,1,48,PROC4,D004,0
P001,7406.88,18,65,PROC2,D002,0
P002,9524.15,18,39,PROC3,D001,0
P002,7810.95,14,62,PROC3,D004,0
P004,6543.0,15,79,PROC4,D001,0
P005,12315.44,12,34,PROC4,D003,0
P001,14773.54,4,76,PROC3,D004,1
P001,6503.58,3,78,PROC4,D004,0
P003,11407.42,12,64,PROC2,D001,0
P002,8373.39,7,73,PROC2,D004,0
P005,8782.19,11,63,PROC3,D004,0
P004,8519.02,1,62,PROC1,D004,0
P002,7840.02,6,50,PROC2,D003,0
P004,10121.3,15,46,PROC4,D001,0
P003,7922.62,15,51,PROC1,D004,0
P003,10676.14,19,77,PROC1,D002,0
P001,9874.4,11,66,PROC2,D002,0
P005,9402.63,2,44,PROC2,D002,0
P004,7731.09,14,64,PROC1,D002,1
P002,8558.07,2,57,PROC1,D003,0
P003,11888.48,4,36,PROC3,D004,1
P001,11252.29,17,61,PROC4,D001,0
P001,7556.11,3,40,PROC3,D004,0
P004,10248.33,13,39,PROC2,D003,0
P003,11878.47,9,38,PROC3,D002,0
P005,5826.49,7,43,PROC3,D003,0
P003,11358.4,15,42,PROC3,D004,0
P004,8343.44,11,54,PROC3,D001,0
P004,11426.5,2,31,PROC4,D003,0
P003,8091.85,15,64,PROC4,D001,0
P004,5487.79,14,36,PROC1,D003,0
P003,5931.14,11,50,PROC2,D001,0
P002,10120.21,3,47,PROC3,D001,0
P003,10649.31,17,32,PROC1,D002,1
P003,7739.21,12,71,PROC1,D001,1
P004,11596.48,15,68,PROC1,D002,0
P004,5846.2,16,70,PROC4,D004,0
P001,9834.8,5,78,PROC3,D004,0
P001,6972.46,6,40,PROC3,D002,0
P002,8370.41,19,68,PROC2,D002,0
P001,10118.5,5,53,PROC3,D003,0
P003,7848.97,3,75,PROC3,D003,0
P004,9038.61,1,48,PROC1,D003,0
P001,12515.73,6,33,PROC2,D004,0
P001,8557.77,15,55,PROC3,D003,0
P002,12089.23,2,67,PROC4,D001,1
P002,7175.73,3,71,PROC3,D001,0
P003,11324.51,17,61,PROC1,D003,0
P004,13603.92,12,68,PROC4,D001,1
P002,3820.89,18,74,PROC1,D004,0
P001,8007.76,15,75,PROC3,D001,0
P004,11442.68,12,65,PROC4,D004,0
P004,9492.39,16,69,PROC2,D002,0
P001,10927.86,8,66,PROC2,D002,0
P002,8490.04,14,62,PROC4,D002,0
P001,10216.47,17,65,PROC4,D002,1
P004,9610.81,8,32,PROC1,D001,0
P005,12919.46,15,38,PROC4,D003,0
P005,10636.05,14,37,PROC1,D001,0
P003,10844.01,18,62,PROC3,D004,0
P001,8970.31,7,35,PROC1,D001,0
P001,8780.98,3,70,PROC4,D001,0
P003,8918.6,12,68,PROC4,D004,0
P003,10986.13,3,33,PROC3,D002,0
P003,8947.54,14,42,PROC4,D002,1
P004,10724.44,15,78,PROC4,D002,0
P001,15188.5,14,31,PROC2,D003,0
P004,12177.81,7,34,PROC2,D004,0
P003,9184.94,17,73,PROC3,D004,1
P001,13003.03,12,56,PROC1,D001,0
P004,8979.81,4,61,PROC2,D003,1
P004,4904.69,9,50,PROC1,D002,0
P003,7479.78,6,37,PROC4,D003,0
P001,5323.02,16,67,PROC2,D004,0
P003,9121.22,2,37,PROC3,D004,0
P001,10046.05,8,79,PROC3,D001,0
P005,14191.09,11,32,PROC3,D001,0
P002,10817.32,13,73,PROC2,D004,0
P002,9452.25,17,32,PROC1,D002,0
P002,12073.51,8,51,PROC4,D002,1
P003,4472.16,18,35,PROC1,D003,0
P005,10589.04,18,31,PROC1,D004,1
P001,11927.16,14,52,PROC4,D004,0
P004,6303.53,15,73,PROC4,D002,0
P001,12859.39,6,31,PROC2,D002,0
P004,10846.24,11,67,PROC2,D004,0
P001,8961.78,13,46,PROC2,D001,0
P005,11581.95,1,64,PROC2,D004,0
P004,15676.73,6,63,PROC2,D004,0
P003,10454.67,9,52,PROC4,D002,1
P001,10620.55,8,59,PROC1,D002,0
P001,8851.6,11,37,PROC2,D001,0
P004,7875.39,19,51,PROC2,D001,1
P003,12075.84,9,73,PROC1,D003,0
P003,7859.79,17,65,PROC2,D004,0
P005,10178.92,12,34,PROC1,D002,0
P003,8805.86,14,42,PROC1,D001,0
P003,11197.45,15,58,PROC4,D003,0
P003,10834.16,16,60,PROC3,D003,0
P002,12593.85,1,76,PROC4,D002,0
P005,8724.96,10,45,PROC3,D002,0
P001,9325.31,8,71,PROC3,D003,0
P004,7553.09,18,59,PROC3,D001,0
P001,8889.27,1,45,PROC2,D003,0
P005,10943.25,2,41,PROC4,D004,0
P004,11892.47,1,46,PROC3,D004,0
P005,7694.59,1,45,PROC1,D002,0
P003,12174.01,9,41,PROC2,D001,1
P004,13389.09,13,37,PROC4,D001,0
P003,11033.59,1,49,PROC3,D004,0
P001,14691.99,13,32,PROC1,D003,0
P001,8065.53,7,45,PROC4,D002,0
P004,6888.36,2,59,PROC4,D003,0
P004,5553.2,6,74,PROC2,D003,0
P005,13740.11,7,52,PROC4,D003,0
P005,11635.91,14,57,PROC2,D001,0
P003,9861.04,18,69,PROC3,D004,0
P004,10699.92,15,34,PROC2,D001,1
P001,7186.28,2,49,PROC1,D004,0
P005,16114.38,10,69,PROC2,D002,0
P005,10323.05,12,73,PROC1,D002,0
P001,10273.49,17,30,PROC2,D003,0
P005,11814.42,8,59,PROC4,D004,0
P003,11202.52,11,50,PROC3,D004,0
P004,10559.71,3,49,PROC1,D004,0
P001,8023.81,6,35,PROC2,D003,0
P004,11178.67,9,51,PROC2,D003,0
P005,14705.06,6,47,PROC2,D002,0
P005,13363.55,9,37,PROC4,D001,0
P001,13982.97,7,68,PROC4,D004,0
P003,8721.96,9,61,PROC1,D004,0
P002,7525.99,18,62,PROC1,D001,0
P001,9685.53,12,45,PROC4,D004,0
P002,10139.31,8,41,PROC1,D003,1
P002,12735.48,8,67,PROC3,D003,0
P003,5768.84,18,63,PROC3,D004,0
P002,13823.88,15,43,PROC4,D003,0
P002,9604.98,7,65,PROC1,D003,0
P003,8932.8,11,62,PROC2,D004,0
P002,7469.74,16,52,PROC3,D002,0
P002,5862.86,4,79,PROC4,D001,0
P002,12057.93,6,74,PROC1,D003,0
P001,10183.29,3,31,PROC4,D002,0
P001,6775.1,9,70,PROC2,D003,0
P001,6762.3,10,50,PROC3,D003,0
P003,9160.54,14,31,PROC4,D001,1
P005,14172.55,11,56,PROC4,D003,0
P002,9351.02,18,38,PROC4,D001,0
P002,6242.14,12,30,PROC2,D001,0
P003,9385.64,12,40,PROC4,D001,1
P002,9318.19,13,32,PROC2,D002,0
P001,3257.78,13,52,PROC2,D004,0
P005,9864.26,19,55,PROC2,D002,0
P004,9422.66,19,33,PROC3,D004,0
P002,11740.52,14,47,PROC3,D004,0
P001,14622.39,4,35,PROC4,D001,0
P004,12816.41,13,64,PROC4,D003,0
P005,9327.78,8,51,PROC3,D001,0
P004,7233.69,19,72,PROC1,D003,0
P001,16433.4,12,44,PROC3,D004,1
P004,10148.05,18,51,PROC2,D001,0
P003,10034.82,6,66,PROC3,D003,0
P004,9939.69,18,71,PROC2,D002,0
P002,10495.21,19,41,PROC4,D003,1
P002,9639.1,5,76,PROC1,D001,0
P003,8565.84,9,78,PROC4,D002,1
P001,8632.85,3,71,PROC2,D003,0
P002,9918.12,10,67,PROC2,D003,0
P005,8641.44,19,47,PROC2,D003,0
P002,8217.89,3,74,PROC1,D003,1
P002,10266.08,15,64,PROC3,D003,0
P001,9362.56,1,59,PROC4,D002,1
P004,13759.98,7,53,PROC4,D004,1
P002,3372.58,12,71,PROC3,D002,0
P003,12728.77,17,59,PROC4,D002,0
P004,13115.21,5,43,PROC1,D002,1
P005,4816.52,4,35,PROC4,D004,0
P001,9143.28,12,32,PROC2,D001,0
P005,9071.4,18,45,PROC3,D004,0
P004,6481.22,17,36,PROC1,D002,0
P004,8055.46,19,43,PROC3,D003,1
P004,7223.56,9,38,PROC1,D003,0
P005,14380.68,4,44,PROC2,D002,0
P004,12339.2,2,50,PROC3,D003,0
P005,13178.89,4,64,PROC4,D002,0
P004,11804.18,2,31,PROC1,D003,1
P003,7177.37,15,56,PROC3,D004,0
P004,8688.7,2,31,PROC4,D001,0
P005,11223.44,4,64,PROC3,D001,0
P002,6944.68,6,47,PROC3,D004,0
P004,11782.5,7,43,PROC3,D004,1
P002,9399.19,10,49,PROC1,D002,0
P003,9062.95,19,47,PROC4,D002,0
P001,11777.4,19,39,PROC2,D002,0
P003,11110.66,12,54,PROC1,D003,1
P004,9097.58,3,31,PROC1,D002,0
P002,12898.32,13,54,PROC1,D004,0
P002,7297.34,18,62,PROC2,D001,0
P005,11539.84,8,65,PROC4,D003,1
P002,11482.75,15,60,PROC4,D002,0
P005,9226.13,1,43,PROC4,D003,0
P001,10815.33,3,30,PROC3,D003,0
P004,6872.22,8,75,PROC3,D002,0
P005,12310.07,4,45,PROC3,D003,0
P001,9537.74,16,75,PROC2,D001,1
P002,8693.19,10,32,PROC3,D004,0
P002,12622.52,12,64,PROC2,D004,0
P001,8239.14,14,70,PROC4,D001,0
P002,6478.85,14,35,PROC3,D003,0
P001,6108.43,2,54,PROC3,D002,0
P005,11515.02,5,42,PROC1,D003,1
P005,6798.93,5,63,PROC2,D001,0
P001,14386.99,6,37,PROC4,D003,0
P005,4795.18,13,50,PROC1,D004,0
P005,14241.14,9,63,PROC1,D003,0
P005,10527.54,15,33,PROC4,D001,0
P003,9758.22,14,54,PROC1,D004,0
P004,8637.7,7,44,PROC2,D003,1
P002,10997.84,2,33,PROC2,D003,0
P003,9905.91,7,74,PROC3,D004,0
P005,12758.25,6,41,PROC1,D002,1
P001,10285.57,17,61,PROC3,D004,0
P005,10375.75,2,61,PROC1,D002,0
P004,9090.97,3,57,PROC2,D001,0
P005,9857.64,5,42,PROC2,D001,0
P001,10769.5,5,60,PROC2,D004,0
P004,5724.58,1,43,PROC1,D004,0
P005,6629.54,8,49,PROC2,D001,0
P004,11858.16,12,47,PROC1,D002,0
P002,10427.16,4,58,PROC3,D001,0
P002,9540.04,13,35,PROC1,D004,0
P005,10046.08,15,61,PROC3,D001,0
P004,10868.95,11,58,PROC1,D004,0
P001,8650.6,10,72,PROC3,D004,0
P005,8054.24,3,31,PROC2,D001,1
P002,10489.61,14,52,PROC3,D002,0
P002,7554.07,16,48,PROC2,D003,0
P005,11020.63,10,60,PROC2,D001,1
P004,5743.54,10,34,PROC3,D003,0
P002,12572.89,12,48,PROC1,D001,0
P004,11181.49,9,63,PROC1,D003,0
P002,10640.07,1,39,PROC4,D002,1
P002,12456.73,5,54,PROC1,D002,0
P003,14163.69,8,31,PROC4,D001,0
P002,12535.93,11,40,PROC1,D004,1
P001,5397.81,12,79,PROC1,D003,0
P005,6801.06,1,60,PROC2,D004,0
P005,8437.95,11,44,PROC4,D004,0
P004,10065.23,5,38,PROC1,D004,0
P002,11294.15,15,52,PROC4,D002,0
P001,8185.64,5,48,PROC2,D001,0
P004,10466.92,12,38,PROC2,D001,0
P003,8111.54,5,64,PROC4,D002,1
P004,8471.21,17,50,PROC2,D002,0
P004,6483.35,17,38,PROC3,D001,0
P002,7691.92,12,57,PROC3,D004,0
P003,6620.79,15,75,PROC2,D003,0
P004,7560.32,15,36,PROC3,D003,0
P001,12634.1,6,45,PROC1,D003,0
P001,7626.5,12,45,PROC4,D004,0
P005,16580.96,18,62,PROC1,D001,0
P003,11233.29,14,33,PROC4,D002,0
P003,10462.09,2,33,PROC2,D001,0
P005,7854.11,9,68,PROC1,D004,0
P004,11750.77,5,69,PROC2,D002,0
P003,8560.91,1,46,PROC2,D004,0
P001,10305.02,3,66,PROC4,D003,0
P001,16400.21,6,68,PROC4,D003,0
P002,9759.85,5,58,PROC4,D004,1
P003,12873.18,5,65,PROC1,D002,0
P004,8242.06,1,67,PROC3,D002,0
P005,9912.53,17,68,PROC4,D001,0
P005,14427.0,19,79,PROC4,D003,0
P004,8432.58,14,66,PROC1,D001,0
P002,14531.12,12,64,PROC4,D001,0
P005,11769.38,10,36,PROC1,D004,0
P003,8593.83,18,56,PROC2,D004,1
P002,11581.02,11,57,PROC4,D001,0
P003,12431.39,2,51,PROC4,D003,1
P001,11554.52,18,43,PROC2,D004,0
P002,6074.44,7,36,PROC2,D001,0
P005,8182.16,15,66,PROC2,D001,0
P002,9381.2,11,51,PROC4,D001,0
P002,9813.92,18,34,PROC3,D001,0
P002,11551.68,12,31,PROC3,D001,1
P002,10444.25,6,56,PROC3,D001,0
P003,6661.64,13,50,PROC4,D004,0
P001,10950.49,16,67,PROC2,D003,0
P004,11526.46,18,44,PROC4,D001,0
P002,11399.48,10,50,PROC2,D002,0
P005,12701.95,8,39,PROC4,D004,0
P002,12084.81,18,52,PROC4,D004,0
P005,11147.95,1,68,PROC2,D001,0
P003,9824.59,8,34,PROC3,D004,0
P005,5847.6,6,30,PROC2,D001,1
P004,11074.05,5,42,PROC1,D003,0
P001,10519.22,15,50,PROC1,D003,0
P005,10678.95,15,55,PROC2,D004,0
P005,6808.13,2,79,PROC4,D004,1
P001,7297.36,1,74,PROC1,D002,0
P004,12632.88,11,50,PROC1,D004,1
P002,9901.11,10,47,PROC4,D002,0
P005,11703.75,18,66,PROC4,D003,0
P001,10070.8,18,74,PROC3,D003,0
P003,10074.39,17,61,PROC4,D001,1
P001,12345.71,8,65,PROC2,D003,0
P003,8709.89,15,46,PROC2,D002,0
P004,10240.3,8,64,PROC3,D004,0
P002,8844.31,17,78,PROC1,D001,0
P001,8913.76,12,40,PROC1,D002,0
P005,9227.07,8,50,PROC4,D004,0
P004,10555.33,14,55,PROC2,D001,1
P001,8803.13,4,33,PROC1,D003,0
P005,13139.39,1,63,PROC3,D002,0
P001,7763.48,1,77,PROC3,D004,0
P003,9532.82,19,47,PROC2,D001,0
P001,8900.67,16,69,PROC3,D001,0
P001,13617.44,14,64,PROC3,D003,0
P001,10491.39,16,70,PROC2,D004,0
