category,joke_text,rating,difficulty_level,language,author,date_created
Programming,Why do programmers prefer dark mode? Because light attracts bugs!,4.5,Intermediate,English,CodeMaster,2024-10-01
Programming,There are only 10 types of people in the world: those who understand binary and those who don't.,4.8,Intermediate,English,BinaryBard,2024-10-02
Science,Why don't scientists trust atoms? Because they make up everything!,4.2,Basic,English,ScienceGeek,2024-10-03
Puns,Why did the scarecrow win an award? He was outstanding in his field!,3.9,Basic,English,PunMaster,2024-10-04
Math,Why was the equal sign so humble? Because he knew he wasn't less than or greater than anyone else.,4.1,Intermediate,English,MathWhiz,2024-10-05
Programming,Why do Java developers wear glasses? Because they can't C#!,4.3,Intermediate,English,JavaJoker,2024-10-06
Dad Jokes,Why don't eggs tell jokes? They'd crack each other up.,3.7,Basic,English,DadJoker,2024-10-07
Science,What did one ocean say to the other ocean? Nothing, they just waved!,4.0,Basic,English,SeaSage,2024-10-08
Wordplay,Why did the bicycle fall over? Because it was two tired!,4.4,Basic,English,WordSmith,2024-10-09
Math,Why was the math book sad? Because it had too many problems.,3.8,Basic,English,ProblemSolver,2024-10-10
Programming,How many programmers does it take to change a light bulb? None, that's a hardware problem!,4.6,Intermediate,English,HardwareHumor,2024-10-11
Puns,I'm reading a book about anti-gravity. It's impossible to put down!,4.2,Basic,English,GravityGuru,2024-10-12
Dad Jokes,Why don't skeletons fight each other? They don't have the guts!,3.9,Basic,English,BoneJoker,2024-10-13
Science,Why don't protons ever get lost? Because they always have a positive charge!,4.3,Intermediate,English,ProtonPro,2024-10-14
Wordplay,What do you call a fake noodle? An impasta!,4.1,Basic,English,PastaPundit,2024-10-15
Programming,Why do programmers always mix up Halloween and Christmas? Because Oct 31 == Dec 25!,4.7,Advanced,English,CodeComedian,2024-10-16
Math,Why was the equal sign so humble? Because he knew he wasn't less than or greater than anyone else.,4.0,Intermediate,English,EqualEgo,2024-10-18
Puns,Why did the coffee file a police report? It got mugged!,4.4,Intermediate,English,CoffeeCoder,2024-10-20
Science,How does the moon cut his hair? Eclipse it!,4.2,Basic,English,LunarLaughs,2024-10-22
Dad Jokes,What do you call a fish wearing a bowtie? So-fish-ticated!,3.6,Basic,English,FishFunnies,2024-10-24
Programming,Why did the developer go broke? Because he used up all his cache!,4.5,Intermediate,English,CacheClown,2024-10-26
Wordplay,Why don't scientists trust atoms? Because they make up everything!,4.3,Basic,English,AtomicAntics,2024-10-28
Math,Why do mathematicians hate the U.S. national parks? Because of all the natural logs.,4.1,Intermediate,English,LogJester,2024-10-30
Science,What do you call a bear with no teeth? A gummy bear!,3.8,Basic,English,BearBard,2024-11-01
Puns,Why did the tomato turn red? Because it saw the salad dressing!,4.0,Basic,English,VegetableVirtuoso,2024-11-03
Programming,Why do programmers prefer iOS development? Because on iOS, there are no Windows problems!,4.4,Intermediate,English,OSOwl,2024-11-05
Dad Jokes,Why don't eggs tell jokes? They'd crack each other up!,3.7,Basic,English,EggHead,2024-11-07
Math,What's the best way to serve pi? A la mode. Anything else is mean.,4.6,Advanced,English,PiProfessor,2024-11-10